hemisphere,start_x,start_y,start_z,end_x,end_y,end_z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,obstacle_distance,path_length,status,is_best
right,43.5,69.25,106.5,107.17829895019531,131.51856994628906,84.90972900390625,76.09243220278172,94.82158923446404,96.16307149761167,72.95477838564672,104.35200186632075,95.79968169710509,5.720293940212695,91.8316380004032,success,1
right,45.0,77.25,116.75,106.75,131.85789489746094,83.45238494873047,67.94816999077092,97.1475083866513,103.95891328591128,98.66951391227529,125.10844999172006,88.22633133395135,5.561166405882173,88.90752751748656,success,0
right,90.0,105.75,148.25,106.2754135131836,131.52540588378906,82.86212921142578,97.50115105774715,118.28624287729383,115.57808976485944,100.54234400381625,121.78927739426254,108.43062006275329,4.972482273862884,72.14983846228354,success,0
right,105.75,49.0,107.25,106.29595184326172,129.63644409179688,84.1823959350586,112.67341151524525,76.91022843036211,86.86901193661134,99.31156385825014,92.7200629102079,107.13976702418162,3.90115603576341,85.75206990705952,success,0
left,179.25,116.25,17.5,106.64690399169922,129.69276428222656,71.41033935546875,166.89278092614947,119.62990565285709,27.314884286080787,141.59222356225365,122.13057815849645,44.823000034777394,3.788696094406865,91.43817176421753,success,0
left,92.25,56.5,39.0,109.25,132.31869506835938,73.01632690429688,100.39810689224306,91.2250950011539,62.0047795448827,105.15928966267174,115.68927725358763,58.13023721778767,3.374989192337775,85.31840888650055,success,0
left,24.25,135.75,56.25,108.06411743164062,133.0025177001953,74.0,46.34720292665948,135.030111915673,60.92842021281038,79.53658399991664,133.9331962788441,67.95977619177519,3.3330599435755346,85.71707811192667,success,0
right,132.75,78.0,141.5,109.25,131.5854034423828,83.39830780029297,130.3326377099149,100.2456434170216,104.4996598618547,108.94906157899736,115.53811067563154,113.67788746091212,3.1871382977903298,84.20855258486951,success,0
left,88.5,90.75,13.0,108.4225845336914,133.57740783691406,72.91279602050781,110.06079523206495,104.62037616573883,42.39492982123675,86.87378653484885,119.73282201977489,43.553945242411686,3.101513464303523,78.35085940123605,success,0
left,208.25,102.0,81.75,106.0,130.13589477539062,72.53740692138672,156.38268063115837,112.2929131841812,85.96326370187147,132.66528993174313,126.77776543833411,66.05347288250574,2.9408192992600544,107.24590318946571,success,0
right,123.0,50.5,111.0,109.25,131.07492065429688,84.24506378173828,128.4698482839977,86.66005947618173,86.99982912561035,104.18228688348502,92.55835141722629,109.0277147111912,2.6579429285860594,88.66384113551668,success,0
left,61.5,54.25,56.25,108.0738296508789,130.95578002929688,70.45578002929688,80.32916539519178,75.03532406049067,72.87987945472045,81.2350808193051,96.97889861131875,51.382846583172565,2.521889938498645,92.51848870516488,success,0
right,17.5,100.59756088256836,93.09756088256836,109.23456573486328,132.69357299804688,82.48456573486328,64.76918169704234,110.20537712209152,108.47594397601404,59.21720182887527,122.124225096306,67.42412652892506,2.1883492123939163,101.65322277667732,success,0
left,200.75,84.0,81.75,106.43333435058594,129.64308166503906,73.076416015625,150.31430769528296,94.2289370442607,85.60055399340081,139.80409743321238,127.6724513869149,67.65653070865334,2.1353375204156566,107.0352323573236,success,0
left,182.36740112304688,72.36740112304688,48.75,109.21791076660156,129.71791076660156,70.87030792236328,150.6432058558709,97.35417280152679,80.16376073564531,141.3230334560593,104.43248517134641,39.34135524435604,2.1295035894034093,99.41827642535306,success,0
right,90.0,68.25,131.0,109.25,130.2016143798828,84.75370788574219,86.88090422872568,102.59884451732205,107.14265958006115,113.9238355882583,100.85633566011093,104.8759339296858,1.8119606102827535,81.50102964236521,success,0
left,119.75,48.25,52.5,109.25,132.39019775390625,72.88865661621094,114.31251971006945,86.17090306058721,79.2640964694895,114.38024785850152,96.9312563634954,46.72113696060429,1.632374022636494,89.97939790044009,success,0
left,117.49640655517578,49.75,49.5,107.14195251464844,129.68333435058594,73.18333435058594,115.55952563896771,67.60147627534755,60.649894659148465,111.74525743268126,91.24785041785057,55.93463323496237,1.1650931139405998,84.36270051373924,success,0
left,191.0,72.75,63.75,106.60649871826172,131.7552490234375,72.64874267578125,149.27554869747226,81.0440634219102,57.18714758228267,159.2480517253827,115.82829568808192,78.0604581296441,1.0189692411920381,106.53548675841645,success,0
right,57.75,57.25,99.75,106.98612213134766,129.25,84.25304412841797,82.2071058749178,94.12098273091338,95.6852527183445,97.03059042792174,113.58526372290002,83.7534543892868,0.9201569805033154,88.74951583338328,success,0
right,169.5,61.0,110.25,108.35289001464844,129.51783752441406,86.5178451538086,148.6461412106613,79.31901841768358,105.0409884295568,139.56511898166522,99.59184168748845,95.74710306246332,0.0,94.99061428769603,fail,0
