hemisphere,start_x,start_y,start_z,end_x,end_y,end_z,obstacle_distance,path_length,status,is_best
right,133.25,99.0,151.25,108.58402252197266,129.82554626464844,86.6744613647461,7.469234111384337,75.68768022270007,success,1
right,90.75,117.06246948242188,149.0,108.79707336425781,130.15699768066406,86.29593658447266,7.179926177421173,66.55045525440032,success,0
right,80.25,104.25,145.25,107.79725646972656,130.11746215820312,86.1797866821289,7.177002046267775,70.12322752792942,success,0
right,153.75,104.25,149.0,108.25340270996094,130.54327392578125,86.0,7.1289273596150595,82.03826313805136,success,0
right,34.5,113.25,123.5,107.8137435913086,131.55702209472656,85.50672912597656,7.076938214429536,84.5786065684217,success,0
right,141.75,95.25,149.75,108.57709503173828,130.9147186279297,85.75818634033203,7.032582371115174,80.41993530398035,success,0
right,125.25,61.75,126.75,108.79749298095703,130.8031463623047,85.64935302734375,6.889867597851447,82.02612505364647,success,0
right,78.75,102.75,144.5,107.0684585571289,129.86158752441406,85.8184585571289,6.765709087822703,70.57263335923628,success,0
right,24.25,142.5,90.0,107.36152648925781,131.3845977783203,85.2269287109375,6.749028081692922,83.98726219763803,success,0
right,115.5,102.0,151.25,106.91851043701172,130.63705444335938,85.53145599365234,6.727897416438723,72.19868334412934,success,0
right,174.0,115.5,141.5,107.09624481201172,130.93446350097656,85.41177368164062,6.722904123194657,88.6579057577876,success,0
right,104.25,103.5,150.5,108.0288314819336,133.29115295410156,83.93002319335938,6.647499750531223,73.0298170183946,success,0
right,90.75,114.0,149.0,109.15260314941406,130.65426635742188,85.44313049316406,6.556671483514387,68.231195593275,success,0
right,15.25,100.5,82.5,108.07404327392578,133.53097534179688,83.64498138427734,6.542167879569639,98.53252926886826,success,0
right,60.75,121.64473724365234,139.25,108.93669891357422,131.34042358398438,84.9728775024414,6.504002216819796,73.22547584285498,success,0
right,81.0,125.25,146.0,107.3618392944336,132.34671020507812,84.26512908935547,6.475689483544642,67.50188258911264,success,0
right,56.25,106.5,136.25,106.86737060546875,131.06295776367188,85.0544204711914,6.461457547654948,76.06868254677391,success,0
right,62.25,120.0,140.0,107.12017059326172,131.65542602539062,84.7147445678711,6.4402806834282025,72.15012566238191,success,0
right,21.25,102.0,102.75,108.92646789550781,131.63070678710938,84.69282531738281,6.407302538194267,94.29317772168999,success,0
right,23.5,140.25,90.75,109.23892211914062,130.9015655517578,85.10951232910156,6.38585622658375,86.43130852851124,success,0
right,169.5,98.25,140.75,109.25,130.5474090576172,85.26937866210938,6.333684034520577,88.04137933877148,success,0
right,25.0,145.5,91.5,108.08844757080078,129.25,85.3664779663086,6.1976852705133805,84.88446684914436,success,0
right,131.25,81.75,143.75,106.75,130.71795654296875,84.70662689208984,6.00962449221749,80.52472089957197,success,0
right,112.58262634277344,52.75,114.75,106.50300598144531,130.30062866210938,84.50300598144531,5.688334537869691,83.46222161424137,success,0
right,25.0,145.5,91.5,109.25,131.876953125,83.75778198242188,5.677208906727616,85.69475973471283,success,0
right,45.0,115.59996032714844,131.0,108.9613265991211,133.03868103027344,83.09444427490234,5.675782778337956,81.79304707254445,success,0
right,129.75,110.25,152.75,106.8119888305664,132.48556518554688,82.92357635498047,5.609733838480771,76.78738278248261,success,0
right,36.546701431274414,97.5,120.29670143127441,109.08392333984375,129.59466552734375,84.73926544189453,5.524455662576501,86.92552773301952,success,0
right,72.0,108.0,143.0,106.17317199707031,130.3203887939453,84.17317199707031,5.448274113765308,71.6002872420251,success,0
right,127.5,83.25,144.5,107.54843139648438,129.25,84.46839141845703,5.313342544597138,78.21674449009224,success,0
right,198.5,87.0,96.0,109.16786193847656,130.3004150390625,84.11744689941406,5.281689232719892,99.98175784305054,success,0
right,125.32039642333984,71.25,136.25,107.6382827758789,129.25,84.32566833496094,5.173239705109858,79.8297774135861,success,0
right,36.39840316772461,82.5,113.39840316772461,108.37052154541016,133.25279235839844,82.12332153320312,5.164662120449952,93.45567124146224,success,0
right,144.75,126.76566314697266,152.0,109.2267837524414,130.77890014648438,83.69789123535156,5.116548875209338,77.0920425561739,success,0
right,145.5,67.75,132.0,106.0,130.457275390625,83.66210174560547,5.089322790277069,88.48166360646641,success,0
right,24.25,142.5,90.0,108.72216033935547,129.92510986328125,84.04705810546875,5.081117940109791,85.6102286619303,success,0
right,123.0,67.0,132.0,106.0,130.35610961914062,83.68348693847656,5.064978199506781,81.47074358625265,success,0
right,204.5,127.4718017578125,114.75,108.52276611328125,133.1212158203125,82.14398956298828,5.059519948734686,101.52190512600718,success,0
left,208.25,102.0,81.75,107.87968444824219,130.41952514648438,70.12031555175781,4.964466173420263,104.96246573836183,success,0
right,144.75,126.45641326904297,152.0,107.68319702148438,129.25,84.00424194335938,4.85827299109442,77.49306500306129,success,0
right,75.0,108.75,144.5,107.26060485839844,132.1787109375,82.1681137084961,4.841436136779021,73.99266970909771,success,0
left,97.5,95.25,10.0,108.02572631835938,133.90748596191406,72.68321228027344,4.827728538907438,74.39339511810446,success,0
left,25.0,137.25,57.0,108.58984375,131.16726684570312,70.66727447509766,4.799548788473226,84.9179369294465,success,0
right,157.5,67.0,126.75,106.69075775146484,129.37576293945312,83.87423706054688,4.792041577504102,91.16274429715993,success,0
left,39.99916076660156,99.0,28.500839233398438,106.93338775634766,131.10638427734375,71.06661224365234,4.683757876299802,85.57368571026832,success,0
left,63.44844055175781,96.30155944824219,18.25,107.77616119384766,133.4481964111328,72.47383880615234,4.680493052975556,79.27827035103341,success,0
right,25.75,139.5,57.75,108.77359771728516,130.9521942138672,83.07140350341797,4.680275451871656,87.21901304796994,success,0
left,25.75,138.0,56.25,107.60419464111328,129.95596313476562,70.39580535888672,4.589944856942822,83.45609335863989,success,0
left,96.0,68.25,25.0,108.89952850341797,129.7042999267578,70.19522094726562,4.54379917798184,77.36689738880935,success,0
right,71.25,101.25,141.5,107.3786849975586,131.88624572753906,82.0,4.5157576602664875,76.05334596144321,success,0
right,99.75,61.0,125.25,108.55814361572266,130.95352172851562,82.85462188720703,4.5058105470922865,82.27056995976015,success,0
right,46.5,107.25,131.0,108.88814544677734,131.57870483398438,82.5594482421875,4.494179279371964,82.64776842594536,success,0
left,25.75,138.1737060546875,56.4237060546875,108.61991119384766,132.22860717773438,71.7286148071289,4.308198035788779,84.48080618610066,success,0
right,46.5,118.5,131.75,108.7838363647461,132.046142578125,82.0338363647461,4.2747117498540765,80.83607596651821,success,0
left,71.25,86.25,19.75,109.25,130.06585693359375,70.69525909423828,4.215849826933711,77.19617052033232,success,0
left,90.0,88.5,13.75,106.87629699707031,132.1262969970703,72.33006286621094,4.205185278528569,74.96457133485882,success,0
left,20.5,102.75,48.0,108.30623626708984,129.29489135742188,70.45510864257812,4.20117487053413,94.43938949781135,success,0
left,178.5,89.25,28.0,107.6924819946289,133.6538543701172,73.53862762451172,4.194608049356056,95.17969055910756,success,0
right,199.25,117.75,118.5,108.15177154541016,130.92738342285156,82.4743881225586,4.191069166436804,98.84520915341083,success,0
right,141.75,102.75,151.25,108.04225158691406,131.27853393554688,82.01371765136719,4.095740375445475,82.12035280642156,success,0
left,59.25,111.75,16.0,106.75,131.900146484375,72.38246154785156,4.078369130363225,76.42813862404822,success,0
left,153.75,102.75,10.0,106.75,129.98248291015625,71.3338394165039,4.0233436641308895,81.92953059197545,success,0
left,60.75,68.43309783935547,36.06690216064453,107.81243896484375,133.44784545898438,73.81243896484375,3.854786510190416,88.69338260547313,success,0
left,90.0,88.5,13.75,106.68182373046875,131.76559448242188,72.58377838134766,3.840873999227853,74.91066938372221,success,0
left,96.0,49.75,51.0,106.75,130.93467712402344,71.9483413696289,3.8267382044926364,84.5301561921569,success,0
left,32.25,100.5,34.75,106.75,130.23306274414062,71.6339111328125,3.8205421639323633,88.28775634594082,success,0
left,57.0,61.0,47.25,108.23744201660156,129.25,70.88179016113281,3.7886881798877026,88.55393537626897,success,0
left,61.5,71.25,33.25,109.05183410644531,132.9481658935547,73.09654235839844,3.7843013417162608,87.49621442916906,success,0
right,198.5,93.13237762451172,102.88237762451172,107.42533874511719,130.1688232421875,82.50650787353516,3.7797785867898948,100.40651520091447,success,0
left,128.0605010986328,80.25,16.0,106.8746109008789,132.12460327148438,73.13220977783203,3.688886542577202,80.02440754009609,success,0
left,19.0,91.5,62.25,109.17073822021484,132.82925415039062,73.16714477539062,3.6501625442891505,99.79004624637136,success,0
left,174.0,112.5,15.25,106.29835510253906,129.85635375976562,71.80799102783203,3.546937767476266,89.90863188126242,success,0
left,153.0,63.25,34.5,109.1186294555664,132.88137817382812,73.39307403564453,3.532598348970909,91.03172367469858,success,0
left,103.42570495605469,52.0,45.0,106.41519165039062,129.6419219970703,71.6928939819336,3.5309593651298665,82.15665323773547,success,0
left,207.5,103.5,69.0,107.18452453613281,132.3988800048828,73.53564453125,3.459714630884181,104.49359767178186,success,0
left,25.0,136.5,55.5,106.0,131.11288452148438,72.81842041015625,3.2213134437482105,83.00571485555545,success,0
left,104.06214141845703,81.75,15.25,106.46664428710938,131.71664428710938,73.49059295654297,3.165046248782575,76.77508608454698,success,0
left,52.5,71.71825408935547,36.53174591064453,108.99637603759766,129.4963836669922,71.63798522949219,3.1216343142574816,88.10562298732144,success,0
left,143.25,76.5,19.0,108.77198028564453,132.75656127929688,73.9714584350586,3.0734442479235917,85.88012443442396,success,0
left,152.25,65.5,31.5,109.25,131.98916625976562,73.273681640625,2.9807977601819267,89.52569300335544,success,0
left,203.75,93.75,68.25,107.91443634033203,132.50979614257812,74.0,2.977808797651169,103.53665804429119,success,0
left,112.5,91.5,10.0,106.25218200683594,131.50218200683594,73.55372619628906,2.9687565741497584,75.3544020506872,success,0
left,17.5,99.75,58.5,109.25,131.8350830078125,73.14598846435547,2.962167397631957,98.29557482265542,success,0
left,131.7197265625,99.75,7.75,106.0,130.36849975585938,72.63597869873047,2.950576036179719,76.21802341599678,success,0
left,105.0,62.72263145446777,29.027368545532227,108.97045135498047,129.885009765625,72.41455078125,2.649972712628208,80.05621229316719,success,0
left,208.25,114.19400405883789,53.80599594116211,106.91535186767578,129.25,72.5181655883789,2.6438925157966477,104.14191864368772,success,0
left,49.5,89.25,27.25,108.62529754638672,132.2137908935547,74.0,2.6333486999532534,86.75972935581264,success,0
left,19.0,88.5,70.5,109.25,131.3588104248047,73.23861694335938,2.5756422079747843,99.94718682280057,success,0
